run_id,seed,n_events,mean_art,std_art,ticks
0,42,239,24.038,8.628,5000
1,43,264,26.932,10.857,5000
2,44,276,25.486,10.256,5000
3,45,219,25.653,10.18,5000
4,46,233,24.511,8.876,5000
5,47,274,25.843,10.201,5000
6,48,254,25.795,9.922,5000
7,49,235,25.119,10.467,5000
8,50,240,24.821,9.418,5000
9,51,264,25.996,10.287,5000
10,52,252,26.131,10.386,5000
11,53,234,26.782,11.107,5000
12,54,252,24.877,9.29,5000
13,55,254,25.839,10.15,5000
14,56,251,25.57,10.295,5000
15,57,243,25.481,9.282,5000
16,58,248,25.835,10.426,5000
17,59,270,25.641,10.431,5000
18,60,275,25.16,10.743,5000
19,61,253,25.648,10.227,5000
20,62,252,25.512,10.012,5000
21,63,276,25.058,10.185,5000
22,64,245,24.698,9.452,5000
23,65,266,25.846,10.977,5000
24,66,247,25.008,10.277,5000
25,67,250,24.568,10.317,5000
26,68,254,25.165,9.895,5000
27,69,255,26.749,11.102,5000
28,70,242,24.153,8.831,5000
29,71,240,24.446,8.821,5000
SUMMARY,all,7557,25.412,0.719,150000
