min_cluster_size,min_samples,rebalance_interval,mean_art,std_art,mean_rebalance_count,mean_clusters_detected,mean_noise_fraction
3,2,25,22.35031850148129,1.4378423916785017,40.0,0.07500000000000001,0.7730035550985652
3,2,50,24.5500896360802,1.501040160325966,20.0,0.1,0.729068376068376
3,2,100,23.475326096568402,0.6469048615081524,10.0,0.06000000000000001,0.8233333333333333
3,3,25,23.06739975450082,2.233991945694438,40.0,0.10500000000000001,0.6991718748240487
3,3,50,23.689072636052792,3.162167311690791,20.0,0.11000000000000001,0.7315494071146245
3,3,100,24.18606592322464,3.448890371541123,10.0,0.13999999999999999,0.6634615384615384
3,5,25,23.74285406738023,2.0131186734063236,40.0,0.12,0.6786245274202456
3,5,50,23.300646866962655,1.6402505716710913,20.0,0.13999999999999999,0.6802681992337164
3,5,100,24.948429769853497,3.7091176436121467,10.0,0.18,0.6619780219780219
5,2,25,23.137034316505954,1.1446789674539026,40.0,0.005,0.975
5,2,50,23.2595528701135,1.3626706350142044,20.0,0.0,1.0
5,2,100,23.377209726443766,1.174386040316091,10.0,0.0,1.0
5,3,25,24.16968286158471,3.4659168443847053,40.0,0.015,0.9418181818181818
5,3,50,23.720151416573017,2.3739064930967926,20.0,0.01,0.9761904761904763
5,3,100,23.149037188970404,1.288652189081335,10.0,0.04,0.8166666666666668
5,5,25,21.496290647337158,2.5722631493749892,40.0,0.005,0.9814814814814815
5,5,50,22.425995166958934,2.2226073859192472,20.0,0.0,1.0
5,5,100,23.417665468703202,1.8841121933970029,10.0,0.0,1.0
8,2,25,23.588801023753398,3.234198617773884,40.0,0.0,1.0
8,2,50,23.374137623159175,1.7454162564075448,20.0,0.0,1.0
8,2,100,25.549145459265894,1.956527144224647,10.0,0.0,1.0
8,3,25,23.027569575114956,1.0402345104923807,40.0,0.0,1.0
8,3,50,23.386307114812098,2.919460927733957,20.0,0.0,1.0
8,3,100,22.49653770790613,1.797657119108505,10.0,0.0,1.0
8,5,25,21.89043167727028,1.0794333028296825,40.0,0.0,1.0
8,5,50,23.62047780656716,1.9834490107552165,20.0,0.0,1.0
8,5,100,23.44309219858156,3.3601697803337816,10.0,0.0,1.0
